Book Name,Author Name,Category,Rating,Price
আরণ্যক (হার্ডকভার),বিভূতিভূষণ বন্দ্যোপাধ্যায়,চিরায়ত উপন্যাস,2 Ratings | 1 Review,TK. 207
কিউএনএ গ্রাফ এ টু জেড(পেপারব্যাক),কিউএনএ পাবলিকেশন্স লেখক পরিষদ,একাদশ-দ্বাদশ শ্রেণি (উচ্চ মাধ্যমিক/এইচএসসি),1 Ratings | 1 Review,TK. 293
"ভার্সিটি পড়ুয়া শিক্ষার্থীদের লেখাপড়া, আত্মউন্নয়ন, দিকনির্দেশনার রকমারি কালেকশন(হার্ডকভার)","ঝংকার মাহবুব ,",ছাত্রজীবন উন্নয়ন,7 Ratings | No Review,TK. 688
এক ডজন সায়েন্স ফিকশন(হার্ডকভার),"হুমায়ূন আহমেদ ,",সায়েন্স ফিকশন সমগ্র/সংকলন,11 Ratings | No Review,TK. 138
মাথার উপর যে শূন্যতা তার নাম আকাশ বুকের ভিতর যে শূন্যতা তার নাম দীর্ঘশ্বাস(হার্ডকভার),লতিফুল ইসলাম শিবলী,রোমান্টিক কবিতা,5 Ratings | 1 Review,TK. 180
প্রযুক্তি ইউনিট ইঞ্জিয়ারিং কলেজ ভর্তি সহায়িকা - (পেপারব্যাক),জয়কলি সম্পাদনা পরিষদ (সম্পাদক),ইঞ্জিনিয়ারিং ভর্তি প্রস্তুতি,-,TK. 352
হিজাব নিয়ে লেখা ৮ টি বইয়ের কালেকশন,"মোহাম্মাদ জাকারিয়া মাসুদ ,",পর্দা বিধান,4 Ratings | No Review,TK. 1073
ইংলিশে দুর্বলদের জন্য বিশেষভাবে উপযোগী ২ টি বই(হার্ডকভার),সাইফুল ইসলাম,ভাষা ও অভিধান কালেকশন,19 Ratings | 18 Reviews,TK. 998
গ্রামীন ব্যাংক - এমসিকিউ(পেপারব্যাক),দিকদর্শন প্রকাশনী (সম্পাদক),ব্যাংক চাকরি নিয়োগ প্রস্তুতি,4 Ratings | 2 Reviews,TK. 371
প্রফেসর’স পিএসসি নন-ক্যাডার জব (লিখিত)(পেপারব্যাক),"প্রফেসরস প্রকাশন ,",অন্যান্য চাকরির প্রস্তুতি,-,TK. 780
একটি প্রবীণ বটের কাছে প্রার্থনা(হার্ডকভার),আহমদ ছফা,বাংলা কবিতা,7 Ratings | 4 Reviews,TK. 129
দ্য গডফাদার(হার্ডকভার),"মারিও পূজো ,","রহস্য, গোয়েন্দা, ভৌতিক, মিথ, থ্রিলার, ও অ্যাডভেঞ্চার: অনুবাদ ও ইংরেজি",50 Ratings | 20 Reviews,TK. 455
পদার্থবিজ্ঞান ১ম পত্র - এইচএচসি ২০২৪ কুইক প্রিপারেশন সিরিজ(পেপারব্যাক),রয়েল সম্পাদনা পর্ষদ,এইচএসসি ১ম বর্ষ: পদার্থবিজ্ঞান পাঠ্য সহায়িকা,1 Ratings | No Review,TK. 167
নির্বাচিত উপন্যাস (হার্ডকভার),জহির রায়হান,উপন্যাস সমগ্র,-,TK. 464
আহিতাগ্নি(হার্ডকভার),আহমদ ছফা,বাংলা কবিতা,1 Ratings | No Review,TK. 129
সেরা সাত কিশোর উপন্যাস(হার্ডকভার),হুমায়ূন আহমেদ,শিশু-কিশোর উপন্যাস,5 Ratings | 2 Reviews,TK. 484
রহস্যের ব্যবচ্ছেদ অথবা হিরণ্ময় নীরবতা(হার্ডকভার),মোহাম্মদ নাজিম উদ্দিন,অতিপ্রাকৃত ও ভৌতিক উপন্যাস,17 Ratings | 7 Reviews,TK. 314
শতবর্ষের ফেরারি : বঙ্কিমচন্দ্র চট্টোপাধ্যায়(হার্ডকভার),আহমদ ছফা,সাহিত্য ও সাহিত্যিক বিষয়ক প্রবন্ধ,10 Ratings | 4 Reviews,TK. 129
রবীন্দ্র রচনাবলী - ১৯তম খণ্ড(হার্ডকভার),রবীন্দ্রনাথ ঠাকুর,পশ্চিমবঙ্গের বই: রচনাসমগ্র ও সংকলন,3 Ratings | No Review,TK. 302
সায়েন্স ফিকশান সমগ্র ১ম খণ্ড(হার্ডকভার),মুহম্মদ জাফর ইকবাল,সায়েন্স ফিকশন সমগ্র/সংকলন,26 Ratings | 9 Reviews,TK. 616
আরণ্যক(হার্ডকভার),বিভূতিভূষণ বন্দ্যোপাধ্যায়,চিরায়ত উপন্যাস,-,TK. 250
হাদীসে রাসূল (সাঃ) প্রয়োজনীয়তা ও প্রামাণ্যতা(হার্ডকভার),ড. খোন্দকার আব্দুল্লাহ জাহাঙ্গীর,হাদিস বিষয়ক আলোচনা,1 Ratings | No Review,TK. 175
বাঙালি মুসলমানের মন(হার্ডকভার),আহমদ ছফা,বিবিধ বিষয়ক প্রবন্ধ,-,TK. 215
ছাত্র-শিক্ষকের কিচ্ছা(হার্ডকভার),গাজী মিজানুর রহমান (বিসিএস),বয়স যখন ১২-১৭: কমিকস ও ছবির গল্প,6 Ratings | 1 Review,TK. 206
উপন্যাস সমগ্র - ২০(হার্ডকভার),হুমায়ূন আহমেদ,উপন্যাস সমগ্র,-,TK. 616
এইচএসসি-২০২৬ উদ্ভিদবিজ্ঞান - (দ্বিতীয় খণ্ড অধ্যায় ৮-১২)(পেপারব্যাক),উদ্ভাস একাডেমিক এন্ড এডমিশন কেয়ার,এইচএসসি ২য় বর্ষ: জীববিজ্ঞান পাঠ্য সহায়িকা,-,TK. 550
হুমায়ূন আহমেদ রচনাবলী ২(হার্ডকভার),"হুমায়ূন আহমেদ ,",রচনা সংকলন ও সমগ্র,11 Ratings | 2 Reviews,TK. 688
পদার্থবিজ্ঞান এসএসসি ২০২৬ - দশম শ্রেণি(পেপারব্যাক),রয়েল সম্পাদনা পর্ষদ (সম্পাদক),নবম ও দশম (বিজ্ঞান): পদার্থবিজ্ঞান পাঠ্য সহায়িকা,-,TK. 513
কিউএনএ মেডিকেল অ্যানালাইসিস মেগাবুক - বায়োলজি(পেপারব্যাক),কিউএনএ পাবলিকেশন্স লেখক পরিষদ,মেডিক্যাল ভর্তি প্রস্তুতি,14 Ratings | 16 Reviews,TK. 493
নো ইজি ডে(হার্ডকভার),"মার্ক ওয়েন ,",পেশাগত স্মৃতিচারণ ও অভিজ্ঞতা,13 Ratings | 6 Reviews,TK. 172
ফ্রন্টলাইন - শান্তির জন্য যুদ্ধ(হার্ডকভার),লতিফুল ইসলাম শিবলী,সমকালীন উপন্যাস,34 Ratings | 16 Reviews,TK. 235
আর রাহীকুল মাখতূম : হযরত মুহাম্মদ (সা:) এর সীরাতগ্রন্থ - রয়েল সাদা কালার(হার্ডকভার),"আল্লামা সফিউর রহমান মুবারকপুরী (রহ.) ,",সীরাতে রাসূল ﷺ,17 Ratings | 13 Reviews,TK. 352
জয়কলি রিটেন বাংলা(পেপারব্যাক),জয়কলি সম্পাদনা পরিষদ (সম্পাদক),বিশ্ববিদ্যালয় ভর্তি প্রস্তুতি,-,TK. 201
পথের দাবি(হার্ডকভার),শরৎচন্দ্র চট্টোপাধ্যায়,চিরায়ত উপন্যাস,-,TK. 180
ব্যাংকিং প্রফেশনাল সাধারণ ব্যাংকিংয়ের আইন ও অনুশীলন(পেপারব্যাক),দিকদর্শন প্রকাশনী (সম্পাদক),ব্যাংকিং ডিপ্লোমা,-,TK. 290
সৃজনশীল উৎপাদন ব্যবস্থাপনা ও বিপণন - প্রথম পত্র (গাইড)(পেপারব্যাক),লেকচার (সম্পাদক),এইচএসসি ১ম বর্ষ: উৎপাদন ব্যবস্থাপনা ও বিপণন পাঠ্য সহায়িকা,-,TK. 306
