,restaurant_name,location_url
21,আমানিয়া হোটেল,https://www.google.com/maps/place/%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A6%BE+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2/data=!4m7!3m6!1s0x3754a4f6266a89cb:0x1662b101b69cc56a!8m2!3d22.8700819!4d91.0967403!16s%2Fg%2F1pxq7l6rk!19sChIJy4lqJvakVDcRasWctgGxYhY?authuser=0&hl=bn&rclk=1
22,আলো,https://www.google.com/maps/place/%E0%A6%86%E0%A6%B2%E0%A7%8B/data=!4m7!3m6!1s0x3754a5dbff6c194b:0xbde4d794bb46fd1d!8m2!3d22.8723789!4d91.0973184!16s%2Fg%2F11fmzk7p6b!19sChIJSxls_9ulVDcRHf1Gu5TX5L0?authuser=0&hl=bn&rclk=1
23,মমস এন মরে-মাইজদী,https://www.google.com/maps/place/%E0%A6%AE%E0%A6%AE%E0%A6%B8+%E0%A6%8F%E0%A6%A8+%E0%A6%AE%E0%A6%B0%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%87%E0%A6%9C%E0%A6%A6%E0%A7%80/data=!4m7!3m6!1s0x3754a5bf46055e25:0x3e5f1a2be6c06577!8m2!3d22.8809196!4d91.1009136!16s%2Fg%2F11y6nprsqk!19sChIJJV4FRr-lVDcRd2XA5isaXz4?authuser=0&hl=bn&rclk=1
24,নোমান ষ্টোর,https://www.google.com/maps/place/%E0%A6%A8%E0%A7%8B%E0%A6%AE%E0%A6%BE%E0%A6%A8+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/data=!4m7!3m6!1s0x3754a50021790959:0xae0b0ae3e804cf23!8m2!3d22.8723789!4d91.0973184!16s%2Fg%2F11l_1khqy3!19sChIJWQl5IQClVDcRI88E6OMKC64?authuser=0&hl=bn&rclk=1
25,রাজমহল রেস্তোরা,https://www.google.com/maps/place/%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%AE%E0%A6%B9%E0%A6%B2+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%8B%E0%A6%B0%E0%A6%BE/data=!4m7!3m6!1s0x3754a4f87e958aa1:0x6254db9e433aceb3!8m2!3d22.8637!4d91.0966879!16s%2Fg%2F11ckvg4v3p!19sChIJoYqVfvikVDcRs846Q57bVGI?authuser=0&hl=bn&rclk=1
26,মোঘল দরবার রেস্টুরেন্ট,https://www.google.com/maps/place/%E0%A6%AE%E0%A7%8B%E0%A6%98%E0%A6%B2+%E0%A6%A6%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B0+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a5befe84176d:0x82292a9575da8825!8m2!3d22.8696615!4d91.0967268!16s%2Fg%2F11kk7w677z!19sChIJbReE_r6lVDcRJYjadZUqKYI?authuser=0&hl=bn&rclk=1
27,Sultan vai restaurant,https://www.google.com/maps/place/Sultan+vai+restaurant/data=!4m7!3m6!1s0x3754a5003d034ddb:0x2a96073394082eb!8m2!3d22.8688981!4d91.0966922!16s%2Fg%2F11y9cyb186!19sChIJ200DPQClVDcR64JAOXNgqQI?authuser=0&hl=bn&rclk=1
28,শাহেলাস কিচেন,https://www.google.com/maps/place/%E0%A6%B6%E0%A6%BE%E0%A6%B9%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A6%B8+%E0%A6%95%E0%A6%BF%E0%A6%9A%E0%A7%87%E0%A6%A8/data=!4m7!3m6!1s0x3754a55abbcac0ad:0x49715f07131fb53!8m2!3d22.8814866!4d91.1011149!16s%2Fg%2F11jcv_b6ky!19sChIJrcDKu1qlVDcRU_sxcfAVlwQ?authuser=0&hl=bn&rclk=1
29,মমজ কিচেন,https://www.google.com/maps/place/%E0%A6%AE%E0%A6%AE%E0%A6%9C+%E0%A6%95%E0%A6%BF%E0%A6%9A%E0%A7%87%E0%A6%A8/data=!4m7!3m6!1s0x3754a59e049adeff:0x6c51ff29b79ecde9!8m2!3d22.8879357!4d91.0963739!16s%2Fg%2F11fvgnzcd2!19sChIJ_96aBJ6lVDcR6c2etyn_UWw?authuser=0&hl=bn&rclk=1
30,রহমানিয়া হোটেল এন্ড সুইটস,https://www.google.com/maps/place/%E0%A6%B0%E0%A6%B9%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A6%BE+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B8%E0%A7%81%E0%A6%87%E0%A6%9F%E0%A6%B8/data=!4m7!3m6!1s0x3754a5a511df8913:0xf3f52dcb58b4354d!8m2!3d22.8671537!4d91.0967917!16s%2Fg%2F11t1zysd0q!19sChIJE4nfEaWlVDcRTTW0WMst9fM?authuser=0&hl=bn&rclk=1
31,ক্রিসেন্ট চায়নিজ রেঁস্তোরা,https://www.google.com/maps/place/%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F+%E0%A6%9A%E0%A6%BE%E0%A7%9F%E0%A6%A8%E0%A6%BF%E0%A6%9C+%E0%A6%B0%E0%A7%87%E0%A6%81%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%8B%E0%A6%B0%E0%A6%BE/data=!4m7!3m6!1s0x3754a459de7176ab:0x1408bb2d5213f955!8m2!3d22.8666801!4d91.1004562!16s%2Fg%2F1hf9321tn!19sChIJq3Zx3lmkVDcRVfkTUi27CBQ?authuser=0&hl=bn&rclk=1
32,মোজাম্মেল স্টোর,https://www.google.com/maps/place/%E0%A6%AE%E0%A7%8B%E0%A6%9C%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A7%87%E0%A6%B2+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/data=!4m7!3m6!1s0x3754a5fffd6fd19f:0xab123ca2eb0d386c!8m2!3d22.8805671!4d91.0951028!16s%2Fg%2F11qm3dp9b1!19sChIJn9Fv_f-lVDcRbDgN66I8Eqs?authuser=0&hl=bn&rclk=1
33,ফুড ফিয়েস্তা,https://www.google.com/maps/place/%E0%A6%AB%E0%A7%81%E0%A6%A1+%E0%A6%AB%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE/data=!4m7!3m6!1s0x3754a458876abcad:0xf20724307aa21ce!8m2!3d22.8697414!4d91.0974044!16s%2Fg%2F11fx91lpmj!19sChIJrbxqh1ikVDcRziGqB0NyIA8?authuser=0&hl=bn&rclk=1
34,সোলেমান হোটেল,https://www.google.com/maps/place/%E0%A6%B8%E0%A7%8B%E0%A6%B2%E0%A7%87%E0%A6%AE%E0%A6%BE%E0%A6%A8+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2/data=!4m7!3m6!1s0x3754a52daff82bc7:0x351c973dd7046c47!8m2!3d22.8811666!4d91.0995623!16s%2Fg%2F11tj6swxj9!19sChIJxyv4ry2lVDcRR2wE1z2XHDU?authuser=0&hl=bn&rclk=1
35,টোকিও ফুড,https://www.google.com/maps/place/%E0%A6%9F%E0%A7%8B%E0%A6%95%E0%A6%BF%E0%A6%93+%E0%A6%AB%E0%A7%81%E0%A6%A1/data=!4m7!3m6!1s0x3754a5899f52784f:0x26fc47ac4e03d61a!8m2!3d22.8698991!4d91.0967276!16s%2Fg%2F11h_2r5rm6!19sChIJT3hSn4mlVDcRGtYDTqxH_CY?authuser=0&hl=bn&rclk=1
36,স্পাইস ক্যাফে,https://www.google.com/maps/place/%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%87%E0%A6%B8+%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AB%E0%A7%87/data=!4m7!3m6!1s0x3754a5f0c54f21e9:0x730bea36c77c8335!8m2!3d22.8766725!4d91.1037897!16s%2Fg%2F11rn04sq_p!19sChIJ6SFPxfClVDcRNYN8xzbqC3M?authuser=0&hl=bn&rclk=1
37,Street Wood,https://www.google.com/maps/place/Street+Wood/data=!4m7!3m6!1s0x3754a5000c5b0d3f:0x7da5bbec31fc7ca7!8m2!3d22.8692368!4d91.1003791!16s%2Fg%2F11wp9jchbr!19sChIJPw1bDAClVDcRp3z8Mey7pX0?authuser=0&hl=bn&rclk=1
38,কাচ্ছি ডাইন - মাইজদী,https://www.google.com/maps/place/%E0%A6%95%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A6%BF+%E0%A6%A1%E0%A6%BE%E0%A6%87%E0%A6%A8+-+%E0%A6%AE%E0%A6%BE%E0%A6%87%E0%A6%9C%E0%A6%A6%E0%A7%80/data=!4m7!3m6!1s0x3754a50001723337:0xdf8897133239ad5c!8m2!3d22.8666686!4d91.0967719!16s%2Fg%2F11y3dnpjb_!19sChIJNzNyAQClVDcRXK05MhOXiN8?authuser=0&hl=bn&rclk=1
39,ঢাকা বিরিয়ানি হাউজ,https://www.google.com/maps/place/%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE+%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%A8%E0%A6%BF+%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C/data=!4m7!3m6!1s0x3754a55af86e808d:0x45b9f4794d78160a!8m2!3d22.8720517!4d91.0897782!16s%2Fg%2F11j8_hmxb2!19sChIJjYBu-FqlVDcRChZ4TXn0uUU?authuser=0&hl=bn&rclk=1
40,Friends Food,https://www.google.com/maps/place/Friends+Food/data=!4m7!3m6!1s0x3754a5006151940d:0x70e2d57c3411f8a1!8m2!3d22.8816118!4d91.0980283!16s%2Fg%2F11wnbkmfxv!19sChIJDZRRYQClVDcRofgRNHzV4nA?authuser=0&hl=bn&rclk=1
41,Food Valley Restaurant,https://www.google.com/maps/place/Food+Valley+Restaurant/data=!4m7!3m6!1s0x3754a5001a4bab5b:0xde035e85e00a3595!8m2!3d22.8867449!4d91.0864226!16s%2Fg%2F11wqhf0z03!19sChIJW6tLGgClVDcRlTUK4IVeA94?authuser=0&hl=bn&rclk=1
42,মোহাম্মদীয়া হোটেল এন্ড রেস্টুরেন্ট,https://www.google.com/maps/place/%E0%A6%AE%E0%A7%8B%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6%E0%A7%80%E0%A7%9F%E0%A6%BE+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a500479c2c91:0xc0fd95eb992fbdd0!8m2!3d22.8692701!4d91.0967094!16s%2Fg%2F11xfpgqzj_!19sChIJkSycRwClVDcR0L0vmeuV_cA?authuser=0&hl=bn&rclk=1
43,"চাপ ঘর-চাপঘর, নোয়াখালী","https://www.google.com/maps/place/%E0%A6%9A%E0%A6%BE%E0%A6%AA+%E0%A6%98%E0%A6%B0-%E0%A6%9A%E0%A6%BE%E0%A6%AA%E0%A6%98%E0%A6%B0,+%E0%A6%A8%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%96%E0%A6%BE%E0%A6%B2%E0%A7%80/data=!4m7!3m6!1s0x3754a53fc466ce7d:0xbf044e2e90b689aa!8m2!3d22.8692268!4d91.0979227!16s%2Fg%2F11hdcr44w6!19sChIJfc5mxD-lVDcRqom2kC5OBL8?authuser=0&hl=bn&rclk=1"
44,Dish & Dine- ডিশ এন্ড ডাইন,https://www.google.com/maps/place/Dish+%26+Dine-+%E0%A6%A1%E0%A6%BF%E0%A6%B6+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%A1%E0%A6%BE%E0%A6%87%E0%A6%A8/data=!4m7!3m6!1s0x3754a50035afb60b:0xac5f41a5c0de4524!8m2!3d22.8689892!4d91.0980465!16s%2Fg%2F11x92gjcxg!19sChIJC7avNQClVDcRJEXewKVBX6w?authuser=0&hl=bn&rclk=1
45,বার্গার স্টেশন,https://www.google.com/maps/place/%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B0+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3754a500739a36e5:0x74e434b2db587214!8m2!3d22.866646!4d91.0971723!16s%2Fg%2F11y659c_yn!19sChIJ5TaacwClVDcRFHJY27I05HQ?authuser=0&hl=bn&rclk=1
46,চিজেবেলি,https://www.google.com/maps/place/%E0%A6%9A%E0%A6%BF%E0%A6%9C%E0%A7%87%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%BF/data=!4m7!3m6!1s0x3754a564a86b4063:0xd6d3467371086ccb!8m2!3d22.869453!4d91.0973925!16s%2Fg%2F11f8j02rrg!19sChIJY0BrqGSlVDcRy2wIcXNG09Y?authuser=0&hl=bn&rclk=1
47,জোশিম খান,https://www.google.com/maps/place/%E0%A6%9C%E0%A7%8B%E0%A6%B6%E0%A6%BF%E0%A6%AE+%E0%A6%96%E0%A6%BE%E0%A6%A8/data=!4m7!3m6!1s0x3754a5580c661f8f:0xfb1436e2c73f8293!8m2!3d22.8931875!4d91.0981875!16s%2Fg%2F11kyn4cptk!19sChIJjx9mDFilVDcRk4I_x-I2FPs?authuser=0&hl=bn&rclk=1
